Iso Code	Language Name	IETF Code	Script
cuc	Chinantec, Usila	cuc	Latin
hak	Chinese, Hakka	hak	Latin
nan	Chinese, Min Nan	nan	Latin
xnj	Chingoni	xnj	Latin
cap	Chipaya	cap	Latin
cax	Chiquitano	cax	Latin
ctg	Chittagonian	ctg	Latin
ctu	Chol	ctu	Latin
chf	Chontal, Tabasco	chf	Latin
cce	Chopi	cce	Latin
crt	Chorote, Iyojwa’ja	crt	Latin
crq	Chorote, Iyo’wujwa	crq	Latin
cac-dialect_sansebastiáncoatán	Chuj	cac	Latin
cac-dialect_sanmateoixtatán	Chuj	cac	Latin
ckt	Chukchi	ckt	Latin
ncu	Chumburung	ncu	Latin
cdj	Churahi	cdj	Latin
chv	Chuvash	cv	Latin
caa	Ch’orti’	caa	Latin
asg	Cishingini	asg	Latin
con	Cofán	con	Latin
crn	Cora, El Nayar	crn	Latin
cok	Cora, Santa Teresa	cok	Latin
crk-script_latin	Cree, Plains	crk	Latin
crk-script_syllabics	Cree, Plains	crk	Latin
crh	Crimean Tatar	crh	Latin
cui	Cuiba	cui	Latin
dsh	Daasanach	dsh	Latin
dbq	Daba	dbq	Latin
dga	Dagaare, Southern	dga	Latin
dgi	Dagara, Northern	dgi	Latin
dgk	Dagba	dgk	Latin
dnj-dialect_gweetaawueast	Dan	dnj	Latin
dnj-dialect_blowowest	Dan	dnj	Latin
daa	Dangaléat	daa	Latin
dnt	Dani, Mid Grand Valley	dnt	Latin
dnw	Dani, Western	dnw	Latin
dar	Dargwa	dar	Latin
tcc	Datooga	tcc	Latin
dwr	Dawro	dwr	Latin
ded	Dedua	ded	Latin
mzw	Deg	mzw	Latin
ntr	Delo	ntr	Latin
ddn	Dendi	ddn	Latin
des	Desano	des	Latin
dso	Desiya	dso	Latin
nfa	Dhao	nfa	Latin
dhi	Dhimal	dhi	Latin
gud	Dida, Yocoboué	gud	Latin
did	Didinga	did	Latin
mhu	Digaro-Mishmi	mhu	Latin
dip	Dinka, Northeastern	dip	Latin
dik	Dinka, Southwestern	dik	Latin
tbz	Ditammari	tbz	Latin
dts	Dogon, Toro So	dts	Latin
dos	Dogosé	dos	Latin
dgo	Dogri	dgo	Latin
mvp	Duri	mvp	Latin
nld	Dutch	nl	Latin
jen	Dza	jen	Latin
dzo	Dzongkha	dz	Latin
idd	Ede Idaca	idd	Latin
eka	Ekajuk	eka	Latin
cto	Embera Catío	cto	Latin
emp	Emberá, Northern	emp	Latin
eng	English	en	Latin
enx	Enxet	enx	Latin
sja	Epena	sja	Latin
myv	Erzya	myv	Latin
mcq	Ese	mcq	Latin
ese	Ese Ejja	ese	Latin
evn	Evenki	evn	Latin
eza	Ezaa	eza	Latin
fal	Fali, South	fal	Latin
fao	Faroese	fo	Latin
far	Fataleka	far	Latin
fij	Fijian	fj	Latin
fin	Finnish	fi	Latin
fon	Fon	fon	Latin
frd	Fordata	frd	Latin
fra	French	fr	Latin
